,BMI,PhysicalActivity,HighBloodPressure,HighCholesterol,Age,Education,Income
Class 0: No Diabetes,-0.3446581976974888,0.03969414239058718,-0.21442341116213204,-0.22001915746832432,-0.3026711507502715,0.046967283390442274,0.14685304342198102
Class 1: Prediabetes,0.10141042465175522,0.003816248569980266,-0.010030325870090473,0.0845804822339184,0.09406655050281017,-0.02456279288904061,-0.06514930139977432
Class 2: Diabetes,0.24324777304573347,-0.04351039096056724,0.22445373703222127,0.1354386752344055,0.20860460024746155,-0.022404490501401798,-0.08170374202220668
