Feature,Coefficient_For_Diabetes_Class
BMI,0.24324777304573347
HighBloodPressure,0.22445373703222127
Age,0.20860460024746155
HighCholesterol,0.1354386752344055
Education,-0.022404490501401798
PhysicalActivity,-0.04351039096056724
Income,-0.08170374202220668
